id,.pred_anger,.pred_fear,.pred_joy,.pred_love,.pred_sadness,.pred_surprise
1404,0.393243001,0.288163962,0.16856911,0.006293688,0.142927065,0.000803175
19322,0.382108424,0.240740169,0.235745862,0.007507338,0.132503481,0.001394727
6087,0.417934483,0.27035946,0.161024809,0.010077822,0.140164141,0.000439286
1091,0.347869702,0.227393189,0.297157282,0.00703445,0.119858076,0.000687302
2199,0.414443277,0.268734165,0.184271968,0.008744292,0.123218913,0.000587385
599,0.436764884,0.25252819,0.176553117,0.006807288,0.125865568,0.001480952
816,0.382940845,0.24098784,0.21995156,0.009425824,0.144214963,0.002478968
2781,0.365664485,0.226320265,0.301093603,0.006987951,0.097427743,0.002505952
20968,0.430287364,0.280351651,0.188797568,0.000917302,0.099499496,0.000146619
51,0.424315726,0.260635554,0.161611559,0.007549684,0.144345414,0.001542063
2232,0.389232579,0.2748837,0.180652791,0.011887555,0.140569134,0.002774242
228,0.353896513,0.217946589,0.259457157,0.018736341,0.148152289,0.001811111
24022,0.420124366,0.270809771,0.17209897,0.003990165,0.131951331,0.001025397
1257,0.404669437,0.240433851,0.160856472,0.012077451,0.177448107,0.004514683
18857,0.454345503,0.230412644,0.185667273,0.007018224,0.120862273,0.001694084
38145,0.420410675,0.227542145,0.202782881,0.007553415,0.136682823,0.00502806
27200,0.441962937,0.269525667,0.170775024,0.008698488,0.105406932,0.003630952
175,0.405084856,0.268320996,0.184151191,0.00927429,0.132743271,0.000425397
863,0.440915784,0.256661547,0.169962953,0.008070723,0.123730263,0.00065873
86,0.421445364,0.257367417,0.191535763,0.00639736,0.122525524,0.000728571
271,0.350867413,0.278242297,0.159287989,0.011750098,0.198801921,0.001050282
30201,0.430443935,0.265197322,0.185627023,0.006976515,0.109913255,0.001841949
26659,0.385181637,0.213655464,0.208190045,0.04349206,0.148909854,0.00057094
11030,0.446065766,0.26322042,0.158974263,0.005849487,0.123928556,0.001961508
12814,0.393575023,0.290760063,0.16028096,0.010616429,0.141491029,0.003276496
10625,0.369605187,0.311976402,0.183244152,0.009559516,0.121453349,0.004161394
146,0.474875961,0.24933511,0.167284961,0.005298662,0.102324353,0.000880952
375,0.394328423,0.230494051,0.147203424,0.036741591,0.190360006,0.000872505
19839,0.430287364,0.280351651,0.188797568,0.000917302,0.099499496,0.000146619
38269,0.438949166,0.252065828,0.182781597,0.006147525,0.119608265,0.000447619
8775,0.368812806,0.250701004,0.137799971,0.010176129,0.230368141,0.002141949
972,0.452402161,0.25067836,0.178826105,0.007223957,0.106882909,0.003986508
16966,0.40710291,0.286304128,0.172572716,0.007292885,0.125635297,0.001092063
38326,0.429734143,0.252380469,0.156621325,0.009257839,0.146497494,0.00550873
1974,0.368488467,0.217822498,0.144064497,0.009746153,0.254627894,0.00525049
4367,0.444612189,0.25167278,0.177876793,0.004723586,0.12071675,0.000397902
26272,0.430287364,0.280351651,0.188797568,0.000917302,0.099499496,0.000146619
22367,0.409080851,0.214307332,0.17589292,0.010216093,0.186835854,0.003666949
541,0.417911192,0.268638768,0.156455691,0.007471505,0.148811733,0.000711111
25141,0.396402132,0.18849721,0.30682975,0.010432281,0.096529614,0.001309013
4078,0.451304655,0.22151603,0.15457035,0.008680398,0.162211504,0.001717063
30142,0.404748414,0.286141472,0.17166326,0.007620701,0.129079203,0.000746949
383,0.40967836,0.30219848,0.178442547,0.003822036,0.105263849,0.000594727
22120,0.443808291,0.259481693,0.172908339,0.005786704,0.114106243,0.00390873
8117,0.412436091,0.297486729,0.153103835,0.005026103,0.131227118,0.000720124
10732,0.359677437,0.216431315,0.138082934,0.009358332,0.275632301,0.000817682
4507,0.378508047,0.298019461,0.191574334,0.007807791,0.123464971,0.000625397
25063,0.152452539,0.069593234,0.370580253,0.240531894,0.140245409,0.026596671
834,0.428566517,0.258135313,0.175089675,0.01109022,0.126136557,0.000981719
6737,0.396935238,0.297359576,0.175259028,0.007418282,0.118791369,0.004236508
7849,0.334723358,0.400652859,0.081404206,0.017040814,0.091477406,0.074701357
38427,0.395304006,0.264233718,0.18664082,0.00728464,0.141128086,0.00540873
1695,0.446817363,0.278516512,0.163099749,0.005131184,0.105679512,0.000755679
1756,0.370236213,0.249001496,0.138957505,0.007706371,0.232859129,0.001239286
26264,0.430287364,0.280351651,0.188797568,0.000917302,0.099499496,0.000146619
14977,0.423880393,0.253450241,0.187982783,0.008558676,0.121792681,0.004335226
28761,0.430287364,0.280351651,0.188797568,0.000917302,0.099499496,0.000146619
19159,0.430287364,0.280351651,0.188797568,0.000917302,0.099499496,0.000146619
3177,0.4105655,0.238993757,0.174022274,0.009448878,0.163392824,0.003576768
580,0.41780118,0.271421324,0.174741837,0.005289127,0.129274671,0.001471861
7256,0.190430028,0.07228335,0.372706974,0.198203728,0.139490888,0.026885033
4705,0.383859615,0.24639931,0.208406381,0.017925818,0.095372541,0.048036335
1522,0.416256909,0.257003245,0.148529509,0.004832699,0.172563353,0.000814286
1429,0.410871619,0.285248561,0.164016013,0.004478996,0.131603859,0.003780952
159,0.407921931,0.252349527,0.157149671,0.010488844,0.170956694,0.001133333
23962,0.424425842,0.246162825,0.197285857,0.009746714,0.119700702,0.00267806
14568,0.296592984,0.151368738,0.472169714,0.003153127,0.071675785,0.005039652
289,0.378957371,0.256028477,0.206589554,0.008376899,0.146906917,0.003140781
36805,0.45896975,0.221352923,0.195737502,0.012167623,0.110126169,0.001646032
227,0.373980104,0.226871253,0.274281452,0.005373804,0.119201324,0.000292063
47,0.417342297,0.274489935,0.171937803,0.004944675,0.129018622,0.002266667
8581,0.251013272,0.14947719,0.508435819,0.005181196,0.084942241,0.000950282
15250,0.425984313,0.255810412,0.185998644,0.004803866,0.123577086,0.003825679
1056,0.373400381,0.262408865,0.172636379,0.015970465,0.169750294,0.005833616
4099,0.188550352,0.0769774,0.312659314,0.231335645,0.165802219,0.024675071
6133,0.449490528,0.27304192,0.183631828,0.00609599,0.087358782,0.000380952
500,0.422092658,0.242719722,0.184485907,0.010649718,0.138840884,0.001211111
1200,0.375876725,0.260922227,0.220955957,0.008275631,0.130312098,0.003657362
22089,0.356548336,0.259929061,0.145234175,0.009822661,0.223622208,0.004843559
4276,0.419481093,0.291381714,0.157529424,0.005691509,0.121935308,0.003980952
5225,0.43508629,0.244151349,0.183726685,0.0077306,0.125578885,0.00372619
17157,0.412211533,0.248049316,0.146561739,0.010154403,0.180674858,0.00234815
5116,0.409548276,0.248668884,0.175318855,0.016158514,0.148891185,0.001414286
20239,0.384465899,0.210774024,0.248822812,0.013021952,0.139192809,0.003722505
108,0.256095742,0.434197939,0.099655403,0.02330195,0.098592027,0.088156939
16119,0.44360431,0.265329323,0.176668887,0.007249009,0.103606406,0.003542063
20676,0.430287364,0.280351651,0.188797568,0.000917302,0.099499496,0.000146619
7178,0.4123035,0.275378201,0.156756781,0.008504288,0.145479054,0.001578175
31516,0.394837373,0.243168461,0.185359053,0.012392112,0.163133988,0.001109013
